id,brand,model,variant,type,fuel_class,units,rank,share_pct,registered_basis,popularity_rating,paultan_keys,registered_note
mercedes-benz-maybach-eqs-suv,Mercedes-Benz,Maybach EQS SUV,,ev,ev,2,123,0.0,paultan_exact,1,['EV|Mercedes-Maybach|EQS 680'],
chery-tiggo-cross,Chery,Tiggo Cross,,hybrid,hybrid,1446,30,0.69,paultan_exact,4,['Hybrid|Chery|Tiggo'],
toyota-vios,Toyota,Vios,,hybrid,hybrid,3750,17,1.8,paultan_exact,5,['Hybrid|Toyota|Vios'],
proton-emas-7-phev,Proton,eMas 7 PHEV,,phev,hybrid,5562,13,2.67,paultan_exact,6,['Hybrid|Proton|e.MAS 7 PHEV'],
toyota-yaris-cross,Toyota,Yaris Cross,,hybrid,hybrid,2558,19,1.23,paultan_exact,5,['Hybrid|Toyota|Yaris Cross'],
honda-city,Honda,City,,hybrid,hybrid,15205,3,7.29,paultan_exact,7,['Hybrid|Honda|City'],
honda-city-hatchback,Honda,City Hatchback,,hybrid,hybrid,15205,3,7.29,paultan_family_shared,7,['Hybrid|Honda|City'],Honda City (same family as City)
nissan-kicks-e-power,Nissan,Kicks e-Power,,hybrid,hybrid,1649,29,0.79,paultan_exact,4,['Hybrid|Nissan|Kicks'],
foton-tunland,Foton,Tunland,,hybrid,hybrid,0,0,0.0,paultan_no_records,1,[],
chery-tiggo-7,Chery,Tiggo 7,,phev,hybrid,1446,30,0.69,paultan_family_shared,4,['Hybrid|Chery|Tiggo'],Chery Tiggo (family shared with Tiggo Cross / Tiggo 8 / Tiggo 8 Pro PHEV)
suzuki-fronx,Suzuki,Fronx,,hybrid,hybrid,0,0,0.0,paultan_no_records,1,[],
great-wall-haval-h6,GWM,Haval H6,,hybrid,hybrid,7849,8,3.76,paultan_exact,6,['Hybrid|Great Wall|Haval H6'],
nissan-serena-e-power,Nissan,Serena e-Power,,hybrid,hybrid,14551,4,6.97,paultan_exact,7,['Hybrid|Nissan|Serena'],
chery-tiggo-8,Chery,Tiggo 8,,phev,hybrid,1446,30,0.69,paultan_family_shared,4,['Hybrid|Chery|Tiggo'],Chery Tiggo (family shared with Tiggo Cross / Tiggo 7 / Tiggo 8 Pro PHEV)
honda-cr-v,Honda,CR-V,,hybrid,hybrid,5827,12,2.79,paultan_exact,6,['Hybrid|Honda|CR-V'],
volkswagen-golf,Volkswagen,Golf,,hybrid,hybrid,120,51,0.06,paultan_exact,2,['Hybrid|Volkswagen|Golf'],
volkswagen-tayron,Volkswagen,Tayron,,hybrid,hybrid,75,59,0.04,paultan_exact,1,['Hybrid|Volkswagen|Tayron'],
hyundai-tucson,Hyundai,Tucson,,hybrid,hybrid,115,52,0.06,paultan_exact,2,['Hybrid|Hyundai|Tucson'],
toyota-innova-zenix,Toyota,Innova Zenix,,hybrid,hybrid,348,40,0.17,paultan_exact,2,['Hybrid|Toyota|Innova Zenix'],
