id,name,address,lat,lng,operator,charger_type,power_kw,power,price,status,is_operational
474293,Proton eMAS Alor Setar Rahmat Jutamas,"299, Jalan Perak, Alor Setar, 05150, Kedah",6.138136263356017,100.35777023518062,Jom Charge,CCS (Type 2),60,60 kW,"RM 1.50/kWh (DC), RM 1.05/kWh (AC)",In Use,True
474292,BYD Alor Setar Hong Thai Motor,"Jalan Gangsa, Alor Setar, 05150, Kedah",6.136141420135814,100.36124931294921,(Unknown Operator),CCS (Type 2),60,60 kW,RM 1.40/min,In Use,True
474291,Pejabat Pos Besar Alor Setar,"Jalan Stadium, Alor Setar, 05100, Kedah",6.13133027170386,100.3736126210465,chargEV,CCS (Type 2),40,40 kW,RM 1.30/kWh,In Use,True
474290,smart Alor Setar Lee Motors,"Jalan Istana Kuning, Alor Setar, 05200, Kedah",6.125182720076495,100.36846157989555,Jom Charge,CCS (Type 2),25,25 kW,RM 1.05/kWh,In Use,True
474289,Frazel Heritage Hotel,"429, Darul Aman Hwy, Jalan Kanchut, Alor Setar, 05100, Kedah",6.12290784119881,100.36655581091031,(Unknown Operator),CCS (Type 2),60,60 kW,RM 1.29/min,In Use,True
474288,Lotus's Mergong,"Persiaran Bandar Baru Mergong, Alor Setar, 05150, Kedah",6.1287536795269375,100.34256190549172,Jom Charge,CCS (Type 2),50,50 kW,"RM 1.60/kWh (DC), RM 1.15/kWh (AC)",In Use,True
474287,Starbucks Alor Setar DT,"Jalan Alor Mengkudu, Alor Setar, 05400, Kedah",6.096171780666893,100.37651922963937,chargEV,CCS (Type 2),50,50 kW,RM 1.60/kWh,In Use,True
474286,Lotus's Stargate,"Lebuh Stargate 1, Alor Setar, 05400, Kedah",6.079605122960402,100.36912957155869,Jom Charge,CCS (Type 2),50,50 kW,"RM 1.60/kWh (DC), RM 1.15/kWh (AC)",In Use,True
474285,Lotus's Jitra,"Jalan Aman 2, Jitra, 06000, Kedah",6.260313333478138,100.41660488621187,Jom Charge,CCS (Type 2),40,40 kW,RM 1.60/kWh,In Use,True
474284,TNB Jitra,"Wisma TNB Jitra, Jalan Jitra, Jitra, 06000, Kedah",6.275758046017131,100.42079340105602,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50/kWh,In Use,True
474283,Starbucks Kangar Jaya DT,"1A, Jalan Kangar Jaya 14, Kangar Jaya, Kangar, 01000, Perlis",6.40703337560619,100.17968747182715,chargEV,CCS (Type 2),60,60 kW,RM 1.30/kWh,In Use,True
474282,Langkawi Port,"Jalan Bukit Malut, Langkawi, 07000, Kedah",6.293740025667077,99.78632315837194,(Unknown Operator),CCS (Type 2),40,40 kW,RM 60/hour,In Use,True
474280,The Majestic Melaka,"Jalan Tun Sri Lanang, Pengkalan Rama, 75700, Melaka",2.201918680975055,102.25215412551984,Jom Charge,CCS (Type 2),47,47 kW,RM 1.50/kWh,In Use,True
474279,BMW Seong Hoe Premium Motors,"Jalan Semabok, Semabok, 75050, Melaka",2.1958411117203127,102.26835938026989,chargEV,CCS (Type 2),30,30 kW,"RM 1.80/min (90kW), RM 0.60/min (30kW)",In Use,True
474278,Pos Malaysia,"Pejabat Pos Besar Melaka, Bukit Baru, 75670, Melaka",2.2144796482063924,102.2650218831086,chargEV,CCS (Type 2),40,40 kW,RM 1.30/kWh,In Use,True
474277,Proton eMAS Melaka NHL Auto Tech,"Jalan IKS MJ 1, Malim Jaya, 75250, Melaka",2.2407008019340964,102.24129330256415,Rexharge (MY),CCS (Type 2),60,60 kW,RM 1.25/kWh,In Use,True
474276,BYD Melaka Sing Kwung Motors,"Jalan Abadi 1, Malim Jaya, 75250, Melaka",2.24490304968036,102.23756001475601,chargEV,CCS (Type 2),120,120 kW,RM 1.50/kWh,In Use,True
474275,AEON Melaka Shopping Centre,"Jalan Tun Abdul Razak, Ayer Keroh, 75460, Melaka",2.233940299316899,102.28257729198594,chargEV,CCS (Type 2),80,80 kW,"RM 1.60/kWh (DC), RM 1.00/kWh (AC)",In Use,True
474274,SQ Spirit,"Jalan Eco 1, Ayer Keroh, 75450, Melaka",2.2519369233080795,102.30074359633102,EVPower (MY),CCS (Type 2),30,30 kW,"RM 1.20/kWh (DC), RM 1.00/kWh (AC)",In Use,True
474273,Charge+ | Amverton Heritage Resort (120kW DC & 7kW AC),"Amverton Heritage Resort, Ayer Keroh, 75450, Melaka",2.2914146122234342,102.30791900510053,CHARGE+,CCS (Type 2),120,120 kW,DC @ RM1.35/kWh | AC @ RM0.95/kWh,In Use,True
474272,Lotus's Parit Raja,"Jalan Universiti 4, Parit Raja, 86400, Johor",1.8496698813246581,103.07632025657153,Jom Charge,CCS (Type 2),50,50 kW,"RM 1.60/kWh (DC), RM 1.15/kWh (AC)",In Use,True
474271,Hotel Bestari Prima,"28, Lorong BBKL 2/3/2, Kuala Lipis, 27200, Pahang",4.18761413852117,102.05983618821563,(Unknown Operator),CCS (Type 2),40,40 kW,RM 1.00/min,In Use,True
474270,Hotel Jelai Raub,"36, Jalan Tan Tiong, Raub, 27600, Pahang",3.7895920054519934,101.85537892584,(Unknown Operator),CCS (Type 2),40,40 kW,RM 1.00/min (DC) ,In Use,True
474269,Petron Jalan Permai,"Jalan Permai, Genting Highlands, 69000, Pahang",3.3866945435445075,101.77398513655385,EI Charge (MY),CCS (Type 2),60,60 kW,RM 1.20/kWh,In Use,True
474268,Gohtong Jaya,"Genting Highlands, 69000, Pahang",3.3958455748519327,101.76933778099328,EI Charge (MY),CCS (Type 2),80,80 kW,RM 1.20/kWH,In Use,True
474267,Lotus's Bukit Beruntung,"Bukit Sentosa, Rawang, 43000, Selangor",3.4029042464541703,101.55983077260782,Gentari Go (MY),CCS (Type 2),50,50 kW,"RM 1.50/kWh (DC), RM 1.05/kWh (AC)",In Use,True
474266,AEON Mall Rawang,"Kompleks Beli Belah AEON Anggun Rawang, Rawang, 48000, Selangor",3.3160697420560723,101.5366024310074,chargeEV (MY),CCS (Type 2),240,240 kW,"RM 1.60/kWh (DC 240 kW), RM 1.40/kWh (DC 60 kW), RM 1.00/kWh (AC)",In Use,True
474265,Lotus's Rawang,"Jalan Rawan, Rawang, 48000, Selangor",3.3021553895640636,101.5979721638696,Jom Charge,CCS (Type 2),50,50 kW,"RM 1.50/kWh (DC), RM 1.05/kWh (AC)",In Use,True
474264,Petronas Sg Buloh Layby,"Hentian Sungai Buloh Arah Selatan, 47000, Sungai Buloh",3.2247062119811005,101.57709930360306,Jom Charge,CCS (Type 2),180,180 kW,RM 1.50/kWh,In Use,True
474263,Kelab Rahman Putra Malaysia,"Notting Hill, Sungai Buloh, 47000, Selangor",3.2193459756758926,101.55264932612374,(Unknown Operator),CCS (Type 2),30,30 kW,"RM1.20/kWh (DC), RM 1.00/kWh (AC)",In Use,True
474262,R&R GCE Elmina Southbound,"GCE, Shah Alam, 40160, Selangor",3.1727026648700303,101.5193920684186,chargeEV (MY),CCS (Type 2),60,60 kW,RM 1.40/kWh,In Use,True
474261,Elmina Lakeside Mall,"Persiaran Garcinia, Shah Alam, 40160, Selangor",3.1808320065721034,101.50859044131062,chargeEV (MY),CCS (Type 2),120,120 kW,RM 1.60/kWh,In Use,True
474260,R&R GCE Elmina Northbound,"GCE, 40160, Shah Alam",3.190952591013982,101.50857629051188,chargeEV (MY),CCS (Type 2),60,60 kW,RM 1.40/kWh,In Use,True
474217,Yard TNB Bukit Kecil,"Jalan Bukit Kecil, Kuala Terengganu, 20300, Terengganu",5.316717143637618,103.13275730280452,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50/kWh,In Use,True
473105,TNB Electron | RPGC Garden Hotel,"Jalan Sultan Azlan Shah, Ipoh, 30350, Perak",4.588343441253926,101.1137938251286,TNB Electron (MY),CCS (Type 2),240,240 kW,1.50/kWh,In Use,True
473104,TNB Electron | RPGC Ipoh,"37, Jalan Sultan Azlan Shah, Ipoh, 30250 , Perak",4.58836976266204,101.11468501793274,TNB Electron (MY),CCS (Type 2),120,120 kW,1.50/kWh,In Use,True
473103,Starbucks Marina ParkCity DT,"Jalan Marina 3, Miri, 98000, Sarawak",4.389434983170361,113.98095691029448,chargEV,CCS (Type 2),60,60 kW,RM 1.50 / min,In Use,True
473102,"Islamic Commercial Centre, Boulevard, Miri (Gentari x SEB)","AL-BAYT Square, Miri 1010 Commercial Centre, Miri, Sarawak",4.4134461808019125,114.01134347608809,Gentari Go (MY),CCS (Type 2),60,60 kW,RM 1.40/kWh,In Use,True
473021,Gentari @ Proton 3S YS Autoworld,"Jalan Seri Setali, 25300, Pahang",3.8455111160246815,103.33737364578519,Gentari Go (MY),CCS (Type 2),60,60 kW,N/A,In Use,True
473019,EI Charge Teluk Cempedak,"No. 1 & 2, Pusat Rekreasi,, Kuantan, 25050, Pahang",3.812206186585456,103.37193930787475,EI Charge (MY),CCS (Type 2),30,30 kW,N/A,In Use,True
473018,EI Charge @ Macinda BYD Kuantan,"Jalan Besar, 25000, Pahang",3.8093713920699344,103.33104804846516,EI Charge (MY),CCS (Type 2),160,160 kW,N/A,In Use,True
473017,chargEV @ BMW Millenium Welt,"Jalan Besar, 25000, Pahang",3.8117401612920503,103.33292415526103,chargEV,CCS (Type 2),30,30 kW,N/A,In Use,True
473016,Evlution @ UMPSA,"Jalan Kuala Pahang - Tanah Putih, 26600, Pahang",3.5368962367550125,103.43136720656787,Gentari Go (MY),CCS (Type 2),7,7 kW,N/A,In Use,True
472949,Town Square Bintulu (Gentari x SEB),"IBRACO Bhd, Bintulu, Sarawak",3.1939723695511475,113.04906994913506,Gentari Go (MY),CCS (Type 2),180,180 kW,RM 1.40/kWh,In Use,True
472948,Sanyan Square Sibu (Gentari x SEB),"Dataran Tun Tuanku Bujang, Sibu, Sarawak",2.2911837264536246,111.82224767573018,Gentari Go (MY),CCS (Type 2),120,120 kW,1.40myr/kwh,In Use,True
472890,Proton eMAS JM OTOMOBIL EV,"Lorong Embi, Kota Bharu, 15503, Kelantan",6.115943752199257,102.24708567898233,Rexharge (MY),CCS (Type 2),40,40 kW,RM 1/kWh,In Use,True
472889,AmBank Kota Bharu,"Jalan Sultan Ibrahim, Kota Bharu, 15990, Kelantan",6.123729637512881,102.23785644954637,Gentari Go (MY),CCS (Type 2),50,50 kW,RM 1.60/kWh,In Use,True
472888,AEON Mall Kota Bharu,"Jalan Maulana Khurasan, Kota Bharu, 15150, Kelantan",6.1101173641256,102.2300724246461,chargeEV (MY),CCS (Type 2),240,240 kW,"RM 1.60/kWh (DC), RM 1.00/kWh (AC)",In Use,True
472887,Petronas Padang Tembak,"Jalan Haji Nik Abdullah Arshad, Kota Bharu, 16100, Kelantan",6.149285670464607,102.29039947019965,Gentari Go (MY),CCS (Type 2),180,180 kW,RM 1.60/kWh,In Use,True
472885,Jalan Kota Bharu – Kuala Terengganu,"Jalan Kota Bharu – Kuala Terengganu, 16810, Kelantan",5.909877479252785,102.32650760278352,TNB Electron (MY),CCS (Type 2),100,100 kW,RM 1.50/kwh,In Use,True
472883,Masjid Al-Ehsan Instep Petronas,"Institut Teknologi Petroleum PETRONAS (INSTEP), Kuala Nerus, 21020, Terengganu",5.474016851220313,103.01563188176215,Gentari Go (MY),CCS (Type 2),120,120 kW,RM 1.50/kWh,In Use,True
472881,BMW Millennium Welt KT,"159, Jalan Sultan Mohamad, Kampung Bukit Kecil, Kuala Terengganu, 21100, Terengganu",5.313478446199142,103.13820161109322,(Unknown Operator),CCS (Type 2),47,47 kW,RM 1.20/min,In Use,True
472879,Pusat Sains & Kreativiti Terengganu,"Kampung Laut Chendering, Kuala Terengganu, 21080, Terengganu",5.268759354184837,103.15214751521148,Gentari Go (MY),Type 2 (Tethered Connector) ,22,22 kW,"RM 1.60/kWh (DC), RM 1.15/kWh (AC)",In Use,True
472877,R&R Ajil Eastbound,"Lebuhraya Pantai Timur, Ajil, 21040, Terengganu",5.141572107979883,103.04071285670375,Gentari Go (MY),CCS (Type 2),150,150 kW,RM 1.80/kWh,In Use,True
472876,R&R Ajil Westbound,"Lebuhraya Pantai Timur, 21040, Terengganu",5.144210102109099,103.04201588587466,Gentari Go (MY),CCS (Type 2),150,150 kW,RM 1.80/kWh,In Use,True
472874,Tesla Supercharger Majlis Bandaraya Kuantan,"Jalan Tanah Putih, Kuantan, 25100, Pahang",3.7982905568169514,103.3217739512362,Tesla (Tesla-only charging),CCS (Type 2),250,250 kW,N/A,In Use,True
472872,Proton Pesat CTM 3S - Kuantan,"Kuantan, 25100, Pahang",3.7947894322893205,103.31304100007844,Gentari Go (MY),CCS (Type 2),120,120 kW,RM 1.60/kWh,In Use,True
472871,Petronas Peramu 2,"Lot 879, Jalan Pekan-Kuantan, Kampung Kubang Sawa, Pekan, 26600, Pahang",3.525714607536571,103.38886092169423,Gentari Go (MY),CHAdeMO,24,24 kW,RM 1.40/kWh,In Use,True
472870,Villea Rompin Resort,"Jalan Kanpung Lanjut, Rompin, 26800, Pahang",2.846358718734521,103.46283546996153,Gentari Go (MY),CCS (Type 2),60,60 kW,"RM 1.40/kWh (DC), RM 1.15/kWh (AC)",In Use,True
472869,Hotel Srimpian Rompin,"No. 2, Lorong Impiana 8, Taman Impiana, Kuala Rompin, 26800, Pahang",2.799422460594272,103.46828426083653,EI Charge (MY),CCS (Type 2),28,28 kW,RM 1.20/kWh,In Use,True
472868,Petron Tanjung Gemok,"Lorong Permai 1, Endau, 26820, Pahang",2.678297342199727,103.60987172493572,TNB Electron (MY),CCS (Type 2),180,180 kW,RM 1.50/kWh,In Use,True
472867,Endau DJH,"Jalan Penyabong-Endau, Endau, 86900, Johor",2.6491417913104414,103.6319432916033,EVPower (MY),Type 2 (Tethered Connector) ,22,22 kW,"RM 1.20/kWh (DC), RM 1.00/kWh (AC)",In Use,True
472866,Mersing Harbour Centre,"Jalan Ibrahim, Mersing, 86807, Johor",2.432450785547772,103.83951298026545,Gentari Go (MY),CCS (Type 2),200,200 kW,RM 1.60/kWh,In Use,True
472865,Kelab Golf Rekreasi Petronas,"Jalan Kemaman - Dungun, Perumahan Petronas Rantau Bukit, Kerteh, 24300, Terengganu",4.453326790006159,103.44674502922044,Gentari Go (MY),CCS (Type 2),50,50 kW,RM 1.60/kWh,In Use,True
472864,Petronas Rantau Kemasik,"Federal Route 3, Kemasik, 24200, Terengganu",4.438500508215,103.44938107611438,Gentari Go (MY),CCS (Type 2),80,80 kW,RM 1.60/kWh,In Use,True
472863,El Charge Cherating Lama,"Jalan Kampung Cherating Lama, Cherating, Pahang",4.130864511610099,103.40006179391253,EI Charge (MY),CCS (Type 2),60,60 kW,RM 1.40/kWh,In Use,True
472862,Swiss-Garden Beach Resort Kuantan,"Jalan Beserah, 26100, Pahang",3.910573893771897,103.3651207892035,(Unknown Operator),CCS (Type 2),60,60 kW,RM 1.20/kWh,In Use,True
472861,Tasek Commercial Centre,"Persiaran KotaSAS, Kuantan, 25200, Pahang",3.8710925701735164,103.27502816682863,Gentari Go (MY),CCS (Type 2),100,100 kW,RM 1.60/kWh,In Use,True
472860,Burger King Indera Mahkota,"Jalan Sultan Ahmad Shah, Kuantan, 25300, Pahang",3.836630442405962,103.3030955243612,Gentari Go (MY),CCS (Type 2),120,120 kW,RM 1.60/kWh,In Use,True
472859,Proton e.MAS Kuantan,"6, 1, Jln Indera Mahkota 3/11, Kuantan, 25100, Pahang",3.814039983874366,103.285256503362,Rexharge (MY),CCS (Type 2),60,60 kW,RM 1/kWh,In Use,True
472858,Pahang Technology Park,"Persiaran Bandar Gambang, Gambang, 26300, Pahang",3.7460639745946906,103.12510945340205,Gentari Go (MY),Type 2 (Tethered Connector) ,22,22 kW,"RM 1.70/kWh (DC), RM 1.15/kWh (AC)",In Use,True
472857,Petron Makmur Gambang Jaya 2,"Lebuhraya Kuantan - Segamat, Gambang, 26300, Pahang",3.6988324807008723,103.12152950836071,TNB Electron (MY),CCS (Type 2),200,200 kW,RM 1.50/kWh,In Use,True
472856,Aurora Boutique Hotel,"No.1, Jalan Tecoma 1, Pusat Perniagaan Tecoma, Bahau, 72100, Negeri Sembilan",2.809293693524083,102.39591806905992,(Unknown Operator),Type 2 (Tethered Connector) ,22,22 kW,RM 0.60/min,In Use,True
472855,Gemas Golf Resort,"Jalan Meranti 14, Gemas, 73400, Negeri Sembilan",2.570914458877681,102.60499620005771,(Unknown Operator),Type 2 (Tethered Connector) ,22,22 kW,Guest - RM 0.70/kWh. Non-guest - RM 0.80/kWh,In Use,True
472853,Petron Keratong Muadzam,"Jalan Gadak Makmur Jaya Utama, Muadzam Shah, 26700, Pahang",3.0351345710275552,103.04662698777236,TNB Electron (MY),CCS (Type 2),240,240 kW,RM1.50/kwh,In Use,True
472852,Triangle Farm Cottage House,"Jalan Ban Kenal, Sekinchan, 45400, Selangor",3.531206985075059,101.15747793104697,Jom Charge,Type 2 (Tethered Connector) ,11,11 kW,RM 0.90/kWh,In Use,True
472851,Tai Chong Seafood,"Jalan Changkat Jong, Teluk Intan, 36000, Perak",4.015829055848982,101.02978503372447,(Unknown Operator),Type 2 (Tethered Connector) ,22,22 kW,RM 0.82/kWh,In Use,True
472850,Tai Chong Seafood,"Jalan Changkat Jong, Teluk Intan, 36000, Perak",4.015655004762834,101.02997230600874,CHARGE+,CCS (Type 2),60,60 kW,RM 1.25/kWh,In Use,True
472849,Majlis Daerah Sabak Bernam,"Jalan Kuala Selangor-Teluk Intan, Sungai Besar, 45300, Selangor",3.6761313034334933,100.99057217478878,chargeEV (MY),Type 2 (Tethered Connector) ,3.7,3.7 kW,RM 1.50 / 20 minutes,In Use,True
472847,Tasek Commercial Centre,"Persiaran KotaSAS, 25200, Pahang",3.87101457249382,103.2750139985618,Gentari Go (MY),CCS (Type 2),100,100 kW,RM1.60/kwh,In Use,True
472748,The Starling Mall,"Jalan SS 21/37, Petaling Jaya, 47400, Selangor",3.1358551433111472,101.62321579425316,chargeEV (MY),CCS (Type 2),400,400 kW,RM1.60/kWh,In Use,True
472712,"PETRONAS KLS, Arah Kuala Selangor","Lebuhraya Kuala Lumpur–Kuala Selangor, Rawang, 48020, Selangor",3.269331062670304,101.50910033360742,Gentari Go (MY),CHAdeMO,16,16 kW,RM 1.50/kWh / RM 1.50/kWh per min after 1 hour,In Use,True
